source,target,ns1:data3,key4
Wembley Park,Kingsbury,2916.7715580506483,d1
Wembley Park,Neasden,2353.1659381957816,d1
Wembley Park,Preston Road,1419.7351657633037,d1
Wembley Park,Finchley Road,7266.37392749648,d1
Kingsbury,Queensbury,1245.9952343630068,d1
Queensbury,Canons Park,1693.307343195774,d1
Canons Park,Stanmore,1419.6694762456716,d1
Stratford,West Ham,1673.509515131191,d1
Stratford,Mile End,2805.0013918567865,d1
Stratford,Leyton,2131.342925924046,d1
Stratford,Hackney Wick,1572.9232793498122,d1
Stratford,Stratford High Street,519.3000735439254,d1
Stratford,Pudding Mill Lane,1137.033257087214,d1
Stratford,Stratford International,1321.0681171138774,d1
Stratford,Liverpool Street,6698.4612704809615,d1
Stratford,Maryland,951.3047206005876,d1
West Ham,Canning Town,1695.0807456335294,d1
West Ham,Bromley-by-Bow,1212.24554267459,d1
West Ham,Plaistow,929.8354935578001,d1
West Ham,Abbey Road,533.8424216951112,d1
West Ham,Star Lane,863.651663302012,d1
Canning Town,North Greenwich,1799.942778092675,d1
Canning Town,Star Lane,866.9991916215113,d1
Canning Town,Royal Victoria,989.5890743360787,d1
Canning Town,East India,1155.218499145749,d1
Canning Town,West Silvertown,1651.1250609252909,d1
North Greenwich,Canary Wharf,1829.783291029848,d1
Canary Wharf,Canada Water,2601.8662764931455,d1
Canary Wharf,West India Quay,327.2442162465769,d1
Canary Wharf,Heron Quays,351.57198739464246,d1
Canada Water,Bermondsey,989.5169205605864,d1
Canada Water,Rotherhithe,435.2544814875196,d1
Canada Water,Surrey Quays,549.516230959454,d1
Bermondsey,London Bridge,2087.8265384230676,d1
London Bridge,Southwark,1098.349085102723,d1
London Bridge,Bank and Monument,886.7283711455719,d1
London Bridge,Borough,514.5938672623976,d1
Southwark,Waterloo,656.4269295165401,d1
Waterloo,Westminster,850.36002636052,d1
Waterloo,Embankment,769.4283320890333,d1
Waterloo,Kennington,1760.1985166074573,d1
Waterloo,Lambeth North,573.689056175681,d1
Waterloo,Bank and Monument,2542.954443857111,d1
Westminster,Green Park,1423.7801946059371,d1
Westminster,St. James's Park,560.7493399066927,d1
Westminster,Embankment,753.7645436404749,d1
Green Park,Bond Street,1148.912313161808,d1
Green Park,Hyde Park Corner,779.8893002669062,d1
Green Park,Piccadilly Circus,777.6260868051102,d1
Green Park,Victoria,1209.5998088021067,d1
Green Park,Oxford Circus,1010.5664752575733,d1
Bond Street,Baker Street,1744.2782307078057,d1
Bond Street,Marble Arch,683.4362347688882,d1
Bond Street,Oxford Circus,554.3405652910504,d1
Baker Street,St. John's Wood,2138.930092928529,d1
Baker Street,Great Portland Street,826.8194453063362,d1
Baker Street,Edgware Road,1034.840367463597,d1
Baker Street,Finchley Road,3534.6372473145702,d1
Baker Street,Marylebone,538.2983257940762,d1
Baker Street,Regent's Park,795.5400496362967,d1
St. John's Wood,Swiss Cottage,969.9402928050149,d1
Swiss Cottage,Finchley Road,645.3527442249119,d1
Finchley Road,West Hampstead,755.7345247172581,d1
Neasden,Dollis Hill,785.5830137546889,d1
Dollis Hill,Willesden Green,1246.1093817936883,d1
Willesden Green,Kilburn,1185.0579298373736,d1
Kilburn,West Hampstead,1015.6216072668693,d1
West Hampstead,Brondesbury,849.2312353810368,d1
West Hampstead,Finchley Road & Frognal,630.6575296114287,d1
West Acton,Ealing Broadway,1616.902166819496,d1
West Acton,North Acton,1811.4947747423628,d1
Ealing Broadway,Ealing Common,1565.2970829567487,d1
North Acton,Hanger Lane,2454.293348667404,d1
North Acton,East Acton,1180.5193163422634,d1
West Ruislip,Ruislip Gardens,2124.393196486331,d1
Ruislip Gardens,South Ruislip,885.8857261563745,d1
South Ruislip,Northolt,2323.9905207104707,d1
Northolt,Greenford,1818.4662603471675,d1
Greenford,Perivale,1596.4351211841758,d1
Perivale,Hanger Lane,2229.885214801891,d1
East Acton,White City,1957.1845158845535,d1
