edgedefault,id2,ns1:data,key,source,target,ns1:data3,key4
undirected,,,,Wembley Park,Kingsbury,Jubilee,d2
undirected,,,,Wembley Park,Neasden,Jubilee,d2
undirected,,,,Wembley Park,Preston Road,Metropolitan,d2
undirected,,,,Wembley Park,Finchley Road,Metropolitan,d2
undirected,,,,Kingsbury,Queensbury,Jubilee,d2
undirected,,,,Queensbury,Canons Park,Jubilee,d2
undirected,,,,Canons Park,Stanmore,Jubilee,d2
undirected,,,,Stratford,West Ham,Jubilee,d2
undirected,,,,Stratford,Mile End,Central,d2
undirected,,,,Stratford,Leyton,Central,d2
undirected,,,,Stratford,Hackney Wick,London Overground,d2
undirected,,,,Stratford,Stratford High Street,DLR,d2
undirected,,,,Stratford,Pudding Mill Lane,DLR,d2
undirected,,,,Stratford,Stratford International,DLR,d2
undirected,,,,Stratford,Liverpool Street,TfL Rail,d2
undirected,,,,Stratford,Maryland,TfL Rail,d2
undirected,,,,West Ham,Canning Town,Jubilee,d2
undirected,,,,West Ham,Bromley-by-Bow,Hammersmith & City,d2
undirected,,,,West Ham,Plaistow,Hammersmith & City,d2
undirected,,,,West Ham,Abbey Road,DLR,d2
undirected,,,,West Ham,Star Lane,DLR,d2
undirected,,,,Canning Town,North Greenwich,Jubilee,d2
undirected,,,,Canning Town,Star Lane,DLR,d2
undirected,,,,Canning Town,Royal Victoria,DLR,d2
undirected,,,,Canning Town,East India,DLR,d2
undirected,,,,Canning Town,West Silvertown,DLR,d2
undirected,,,,North Greenwich,Canary Wharf,Jubilee,d2
undirected,,,,Canary Wharf,Canada Water,Jubilee,d2
undirected,,,,Canary Wharf,West India Quay,DLR,d2
undirected,,,,Canary Wharf,Heron Quays,DLR,d2
undirected,,,,Canada Water,Bermondsey,Jubilee,d2
undirected,,,,Canada Water,Rotherhithe,London Overground,d2
undirected,,,,Canada Water,Surrey Quays,London Overground,d2
undirected,,,,Bermondsey,London Bridge,Jubilee,d2
undirected,,,,London Bridge,Southwark,Jubilee,d2
undirected,,,,London Bridge,Bank and Monument,Northern,d2
undirected,,,,London Bridge,Borough,Northern,d2
undirected,,,,Southwark,Waterloo,Jubilee,d2
undirected,,,,Waterloo,Westminster,Jubilee,d2
undirected,,,,Waterloo,Embankment,Bakerloo,d2
undirected,,,,Waterloo,Kennington,Northern,d2
undirected,,,,Waterloo,Lambeth North,Bakerloo,d2
undirected,,,,Waterloo,Bank and Monument,Waterloo & City,d2
undirected,,,,Westminster,Green Park,Jubilee,d2
undirected,,,,Westminster,St. James's Park,Circle,d2
undirected,,,,Westminster,Embankment,Circle,d2
undirected,,,,Green Park,Bond Street,Jubilee,d2
undirected,,,,Green Park,Hyde Park Corner,Piccadilly,d2
undirected,,,,Green Park,Piccadilly Circus,Piccadilly,d2
undirected,,,,Green Park,Victoria,Victoria,d2
undirected,,,,Green Park,Oxford Circus,Victoria,d2
undirected,,,,Bond Street,Baker Street,Jubilee,d2
undirected,,,,Bond Street,Marble Arch,Central,d2
undirected,,,,Bond Street,Oxford Circus,Central,d2
undirected,,,,Baker Street,St. John's Wood,Jubilee,d2
undirected,,,,Baker Street,Great Portland Street,Hammersmith & City,d2
undirected,,,,Baker Street,Edgware Road,Hammersmith & City,d2
undirected,,,,Baker Street,Finchley Road,Metropolitan,d2
undirected,,,,Baker Street,Marylebone,Bakerloo,d2
undirected,,,,Baker Street,Regent's Park,Bakerloo,d2
undirected,,,,St. John's Wood,Swiss Cottage,Jubilee,d2
undirected,,,,Swiss Cottage,Finchley Road,Jubilee,d2
undirected,,,,Finchley Road,West Hampstead,Jubilee,d2
undirected,,,,Neasden,Dollis Hill,Jubilee,d2
undirected,,,,Dollis Hill,Willesden Green,Jubilee,d2
undirected,,,,Willesden Green,Kilburn,Jubilee,d2
