edgedefault,id2,ns1:data,key
undirected,Wembley Park,"(519316.5590174915, 186389.32981656672)",d0
undirected,Kingsbury,"(519359.9688603217, 188721.22027255083)",d0
undirected,Queensbury,"(518811.3613368616, 189760.50737704366)",d0
undirected,Canons Park,"(518183.29968291725, 191257.26260848)",d0
undirected,Stanmore,"(517580.4596464033, 192537.99948098673)",d0
undirected,Stratford,"(538524.7855297636, 184373.34100822973)",d0
undirected,West Ham,"(539160.2577659411, 182933.290067989)",d0
undirected,Canning Town,"(539439.020753582, 181338.40907066417)",d0
undirected,North Greenwich,"(539189.2108512281, 179809.60035511653)",d0
undirected,Canary Wharf,"(537586.6947649193, 180311.85419390627)",d0
undirected,Canada Water,"(535482.2867206828, 179448.66561502634)",d0
undirected,Bermondsey,"(534502.7607083861, 179420.4002671783)",d0
undirected,London Bridge,"(532684.1180177411, 180183.89658802713)",d0
undirected,Southwark,"(531610.1677530061, 180051.36329176498)",d0
undirected,Waterloo,"(530974.0910233686, 179921.09873829264)",d0
undirected,Westminster,"(530175.2573717857, 179658.04764321534)",d0
undirected,Green Park,"(528968.085643932, 180259.31506057666)",d0
undirected,Bond Street,"(528574.5653942558, 181062.2403703615)",d0
undirected,Baker Street,"(528063.3393097348, 182010.5333398169)",d0
undirected,St. John's Wood,"(526742.9394995566, 183349.44880081003)",d0
undirected,Swiss Cottage,"(526676.9591458273, 184294.18653819687)",d0
undirected,Finchley Road,"(526234.4472463952, 184732.86531208985)",d0
undirected,Neasden,"(521426.75357920176, 185371.19515501917)",d0
undirected,Dollis Hill,"(522176.48011387105, 185156.80043246993)",d0
undirected,Willesden Green,"(523388.43642506225, 184880.0900637834)",d0
undirected,Kilburn,"(524543.4691066165, 184651.84987636388)",d0
undirected,West Hampstead,"(525505.0892877429, 184681.49846026802)",d0
undirected,West Acton,"(519396.49661771354, 181320.53600355436)",d0
undirected,Ealing Broadway,"(517952.06193833845, 180930.32080099217)",d0
undirected,North Acton,"(520831.6447646859, 181956.23485728912)",d0
undirected,West Ruislip,"(508377.63766211295, 186796.26829912647)",d0
undirected,Ruislip Gardens,"(510274.96303267614, 185847.93603156926)",d0
undirected,South Ruislip,"(511067.68775256537, 185452.8677318886)",d0
undirected,Northolt,"(513183.84620711236, 184537.88584416185)",d0
undirected,Greenford,"(514881.14881801384, 183885.81765838724)",d0
undirected,Perivale,"(516367.65635744407, 183313.49461914203)",d0
undirected,Hanger Lane,"(518485.2444701355, 182645.67699126614)",d0
undirected,East Acton,"(521691.8527282366, 181227.30740708666)",d0
undirected,White City,"(523313.5094514195, 180732.60128608742)",d0
undirected,Shepherd's Bush,"(523793.6784481174, 179934.01228072718)",d0
undirected,Holland Park,"(524627.1875986009, 180231.0631897372)",d0
undirected,Notting Hill Gate,"(525284.4693677047, 180461.21547897242)",d0
undirected,Queensway,"(525896.0483197575, 180621.0494660869)",d0
undirected,Lancaster Gate,"(526730.8301189523, 180794.3392868059)",d0
undirected,Marble Arch,"(527927.2306660254, 181009.97343957587)",d0
undirected,Oxford Circus,"(529015.4430721067, 181234.2241558549)",d0
undirected,Tottenham Court Road,"(529781.482196094, 181328.9392416098)",d0
undirected,Holborn,"(530528.559720361, 181529.60028516973)",d0
undirected,Chancery Lane,"(531086.0383435467, 181599.20772377582)",d0
undirected,St. Paul's,"(532110.9162499555, 181271.13368536753)",d0
undirected,Bank and Monument,"(532821.10615604, 180978.99742206652)",d0
undirected,Liverpool Street,"(533127.7645573226, 181621.32983581326)",d0
undirected,Bethnal Green,"(534856.0703132264, 182541.3994596952)",d0
undirected,Mile End,"(536522.8389029178, 182548.59411499347)",d0
undirected,Leyton,"(538372.8974112027, 186079.08811245702)",d0
undirected,Leytonstone,"(539293.6844125035, 187434.16551840538)",d0
undirected,Snaresbrook,"(540164.9361679577, 188810.15584754554)",d0
undirected,South Woodford,"(540537.5760690768, 190067.07636106154)",d0
undirected,Woodford,"(540940.071871775, 191716.7805791804)",d0
undirected,Buckhurst Hill,"(541775.7960515816, 193887.0000133522)",d0
undirected,Loughton,"(542312.9827845523, 195617.60250462766)",d0
undirected,Debden,"(544259.8449328659, 196110.39245562616)",d0
undirected,Theydon Bois,"(545533.7018269303, 199090.099271824)",d0
undirected,Epping,"(546243.9571496719, 201607.95484564855)",d0
undirected,Wanstead,"(540672.9782558607, 188260.65597320127)",d0
undirected,Redbridge,"(541834.186675984, 188370.56537904346)",d0
undirected,Gants Hill,"(543284.2884123337, 188438.74108106876)",d0
undirected,Newbury Park,"(544922.4703491172, 188372.789665667)",d0
undirected,Barkingside,"(544795.7977077564, 189487.84517719486)",d0
undirected,Fairlop,"(544938.5179408072, 190638.18736265838)",d0
undirected,Hainault,"(545077.1529180729, 191505.81574705825)",d0
undirected,Grange Hill,"(544981.0065557065, 192550.495905853)",d0
undirected,Chigwell,"(543736.0358692724, 193038.68234393664)",d0
undirected,Roding Valley,"(541601.3994449577, 192898.30456136068)",d0
undirected,Cambridge Heath,"(534826.876705217, 183290.9967794172)",d0
undirected,London Fields,"(534782.9411729402, 184260.470179323)",d0
undirected,Hackney Downs,"(534531.0425008993, 185134.56828449317)",d0
undirected,Rectory Road,"(533997.2802964149, 186185.00534536556)",d0
undirected,Stoke Newington,"(533682.4732778249, 186891.7576095789)",d0
undirected,Stamford Hill,"(533380.1225254077, 187926.88745416305)",d0
undirected,Seven Sisters,"(533554.9105144802, 188928.8231568151)",d0
undirected,Bruce Grove,"(533780.8987780251, 190082.17074779753)",d0
undirected,White Hart Lane,"(533689.1656303616, 191278.15225926536)",d0
undirected,Silver Street,"(533917.9797730136, 192439.3931948733)",d0
undirected,Edmonton Green,"(534300.8048909911, 193574.77823167824)",d0
undirected,Southbury,"(534833.6348221744, 196224.6495908872)",d0
undirected,Turkey Street,"(535129.2212467302, 198904.07473988447)",d0
undirected,Theobalds Grove,"(535871.6479460497, 201076.29046605778)",d0
undirected,Cheshunt,"(536645.9760550472, 202306.52669378847)",d0
undirected,Enfield Town,"(532966.1107307163, 196543.96956780087)",d0
undirected,Bush Hill Park,"(533713.8322457541, 195365.73978888616)",d0
undirected,Romford,"(551401.1848790161, 188485.6055899065)",d0
undirected,Emerson Park,"(553975.8291801589, 187859.34812387254)",d0
undirected,Upminster,"(556276.9801129273, 186891.24588104166)",d0
undirected,Clapton,"(534793.2839548248, 186542.6628761649)",d0
undirected,St James Street,"(536400.5225096197, 188735.3664485835)",d0
undirected,Walthamstow Central,"(537276.8707071007, 189029.94132441693)",d0
undirected,Wood Street,"(538493.9656610421, 189421.03757034993)",d0
undirected,Highams Park,"(538574.9468736735, 191903.3545353086)",d0
undirected,Chingford,"(539212.1367532767, 194625.59323090076)",d0
undirected,Richmond,"(518110.27721838746, 175185.8913887801)",d0
undirected,Kew Gardens,"(519197.7956052223, 176740.69416510273)",d0
undirected,Gunnersbury,"(519828.6784560993, 178372.9935379958)",d0
undirected,South Acton,"(520174.525898681, 179266.70638363512)",d0
undirected,Harrow & Wealdstone,"(515407.3006426541, 189475.85455744521)",d0
undirected,Kenton,"(516735.69458146667, 188305.6220407072)",d0
undirected,South Kenton,"(517334.2323471008, 187064.75061834045)",d0
undirected,North Wembley,"(517668.0612486302, 186199.24048707465)",d0
undirected,Wembley Central,"(518250.55285065656, 184987.64423562755)",d0
undirected,Stonebridge Park,"(519669.47405172285, 184184.84245997242)",d0
undirected,Harlesden,"(520919.93648316036, 183378.70765625202)",d0
undirected,Willesden Junction,"(521955.55811896874, 182944.8965154274)",d0
undirected,Kensal Green,"(523249.0147372222, 182789.66249438334)",d0
undirected,Queen's Park,"(524563.8048707286, 183202.2632752654)",d0
undirected,Kilburn High Road,"(525525.412078379, 183634.64455866523)",d0
undirected,Acton Central,"(520654.5958427385, 180294.6171937012)",d0
undirected,Kensal Rise,"(523541.7680495779, 183223.5096649003)",d0
undirected,Brondesbury Park,"(524223.5915122775, 183939.8396826691)",d0
undirected,Brondesbury,"(524754.0873304128, 184445.39288153057)",d0
undirected,Finchley Road & Frognal,"(526014.3829744963, 185018.11048323265)",d0
undirected,Hampstead Heath,"(527290.5589513705, 185634.81488234684)",d0
undirected,Gospel Oak,"(528203.1799824529, 185705.7934055485)",d0
undirected,Kentish Town West,"(528601.9284568904, 184758.69959036063)",d0
undirected,Camden Road,"(529121.6094741357, 184201.45750954264)",d0
undirected,Caledonian Road & Barnsbury,"(530814.0970633649, 184429.2726759108)",d0
undirected,Highbury & Islington,"(531541.7216167527, 184768.32345669725)",d0
undirected,Canonbury,"(532346.0082651628, 185033.48757066805)",d0
undirected,Dalston Kingsland,"(533516.4165391345, 185007.70052258077)",d0
undirected,Hackney Central,"(534802.7859196315, 184918.18077083572)",d0
undirected,Homerton,"(535829.8466018274, 184946.36379078595)",d0
undirected,Hackney Wick,"(537065.9115970905, 184572.6294971574)",d0
undirected,Whitechapel,"(534617.3426706116, 181907.24700468776)",d0
undirected,Shadwell,"(534961.9932026706, 180967.72058215368)",d0
undirected,Wapping,"(535027.3536880948, 180167.91140872787)",d0
undirected,Rotherhithe,"(535299.2965775388, 179808.69385709625)",d0
undirected,Surrey Quays,"(535634.5288301795, 178955.63114245993)",d0
